airbnb_listing_id,qtd_registros,qtd_datas_distintas,price_min,price_max,price_medio,price_mediano,primeiro_preco,ultimo_preco,acima_p99
1002341236260011015,54,54,350.0,400.0,351.85185185185185,350.0,400.0,350.0,False
1002785860497857801,198,80,438.0,845.0,600.1641414141415,600.0,813.0,532.6,False
1004496327455456339,214,81,250.0,823.0,402.64953271028037,380.0,698.0,250.0,False
1004910078575857573,73,27,680.0,925.0,765.4794520547945,750.0,925.0,750.0,False
1005860682746801029,128,75,385.0,550.0,399.3671875,385.0,403.0,386.5,False
1005958896607152946,161,55,200.0,360.0,249.7826086956522,240.0,300.0,200.0,False
1006396584243125090,208,83,361.0,1064.0,574.9787653846154,601.0,963.0,524.3333,False
1008029204257210230,178,68,270.0,385.0,321.6753278651686,315.0,324.0,350.0,False
1011115904222911872,204,79,280.0,3055.5,809.5878269607844,700.0,850.0,280.0,True
1011714999685071594,57,28,530.0,557.0,556.5263157894736,557.0,557.0,530.0,False
1014245162199655907,108,43,500.0,609.7,572.6712962962963,600.0,600.0,500.0,False
1015691857467598452,165,55,972.0,1296.0,1272.4363636363637,1296.0,1296.0,1296.0,False
1016100494032497541,78,78,224.0,498.0,370.6923076923077,369.0,349.0,274.0,False
1019041007385326527,43,43,453.0,1257.0,675.8255813953489,575.0,897.0,453.0,False
1019453731090411731,205,85,342.0,606.6667,452.88211385365855,380.0,585.0,380.0,False
1019756845213291605,72,72,161.0,196.0,173.32638888888889,179.0,179.0,179.0,False
1021217453140595481,46,46,330.0,700.0,398.82608695652175,330.0,700.0,330.0,False
1023885231203292759,203,80,405.0,750.0,520.7996715270937,490.0,550.0,501.66666,False
1024067179174522246,70,70,179.0,320.0,215.5504762857143,200.0,207.0,200.0,False
1025356251415331533,80,36,300.0,500.0,368.675,350.0,500.0,350.0,False
10266012,58,58,113.0,125.0,121.25,125.0,117.0,125.0,False
1028988415727336651,70,70,405.0,815.0,561.97619,570.0,670.0,405.0,False
1030981527494824971,74,27,225.0,483.0,297.98873891891895,250.0,483.0,400.0,False
1031938290013047428,217,82,471.0,1403.0,660.0380184331797,627.0,660.0,1403.0,False
1032037416009523135,37,37,521.0,556.0,550.7972972972973,556.0,556.0,521.0,False
1033202997223117530,29,29,1790.0,2979.0,1938.8908034482758,1800.0,2979.0,1800.0,True
10340400,18,6,300.0,300.0,300.0,300.0,300.0,300.0,False
1034873975277447845,147,62,575.0,2090.0,880.3985258503401,732.0,704.0,1100.0,False
1035628196408986358,102,43,752.0,1870.0,1025.3398686274509,941.0,1210.0,1870.0,False
1036955655225647222,70,70,400.0,530.0,463.07142857142856,500.0,530.0,400.0,False
1037004838842410100,35,35,220.0,440.0,310.7857142857143,330.0,440.0,220.0,False
1037047027853581998,95,43,801.0,1791.0,1035.8394736842106,890.0,1090.0,890.0,False
1039235354309448898,189,75,150.0,450.0,204.4973544973545,150.0,350.0,150.0,False
